lat,lon,cod_ibge
-5.62939855690197,-50.0166010548483,150420
-19.7434642616888,-42.4215240532572,315053
-3.11966288331902,-43.9308270381643,210237
-7.27102030233741,-36.2218350769756,250215
-29.1218297673176,-49.7430401518901,421565
-23.0459482125131,-49.7261464212938,355720
-5.53773667939862,-36.802645486564,240470
-6.83845176004321,-49.5693857216638,150775
-7.18335174517093,-41.0619220508077,220213
-5.26073642652559,-43.9842032606166,211174
-23.16902613372,-52.6104414897494,411650
-2.4516788866427,-45.9878831713535,210637
-20.8912922025352,-49.777704765885,353270
-2.81952166443941,-44.1029017081805,210110
-25.4557755222789,-54.426899992496,412405
-4.09899223729132,-43.009457143814,210390
-29.8077245079414,-50.0695344991959,432380
-5.05388936010498,-48.7631761923539,150157
-6.45941681704767,-61.44605582388,130270
-23.6960837392802,-52.387409688536,412720
-5.8026470735235,-35.2288516994285,240810
-6.99031840088131,-36.7759567605629,250780
-4.36909193919598,-45.5490342268277,210215
-9.24141532138556,-38.048157128186,270642
-15.3325347905732,-58.5990244895662,510450
-7.0034397194808,-48.7865999059449,171395
-5.78717244224413,-35.3646893050689,241200
-7.37622788069356,-40.8810293293683,220720
-3.42859538874649,-43.8127724308734,210720
-6.55314161371596,-42.2250704268235,221140
-14.9116321008562,-40.5857576028448,290290
-3.09248260269697,-41.2326697645251,230390
-20.9447346860832,-49.5805512895736,352450
-19.9812526654192,-43.7831816131562,315390
-12.925150391449,-39.7736296416095,292130
-23.1053958422926,-51.9557549999388,410810
-22.1209456416606,-47.4848366065605,354620
-8.23721766842056,-46.3424101321855,210140
-10.6320602800065,-37.2369431707718,280650
-5.85176442313541,-44.2937094071109,210545
-6.95625671063827,-41.8821541287406,220995
-4.09414509579744,-45.1198559072753,210740
-19.951595298407,-50.1237597558434,353000
-29.4530090851867,-52.1319385608715,431675
-5.91312046327431,-35.2308811652191,240325
-5.9606932624284,-47.3133613447097,210955
-6.03739507224132,-42.5119328695585,220460
-22.4408482059126,-44.325778598895,330411
-7.19833982051481,-42.5005187987028,220970
-21.465300355978,-45.8145361513748,312520
-22.7837699957002,-47.2844314308258,353340
-3.3452934854884,-43.9553160231997,210930
0.374764499116159,-67.9973281722729,130380
-23.1281548482911,-52.0642928152054,410220
-12.6196141253677,-39.0904094133465,292230
-4.67531936657017,-44.6900677290892,210193
-22.7277644470703,-51.6642457211862,411380
-23.5502563958686,-46.8420821155138,351060
-10.1658057403791,-36.9207948215876,280010
-5.78366125313063,-35.5500028608845,240460
-10.7486389325187,-38.3084834218342,291185
-7.47690633195918,-35.242133727389,260550
-5.17497605561531,-36.2075405067558,240410
-21.1321892649,-48.4278462114334,355320
-5.76007794538579,-36.3918364674878,240375
-5.51772266065651,-47.0610908503802,210235
-6.1921801154403,-35.4504036366739,240630
-7.74538521443706,-39.2015736642591,260430
-5.63771479495021,-44.3360967317941,211070
-13.0109615375502,-38.715114970724,293320
-10.6189949322607,-38.6275192753437,290265
-5.41426834530672,-44.3177441057626,210470
-22.0318371146444,-48.3450173092155,355475
-6.00262093413017,-42.6517404051727,220980
-9.08279377342921,-35.2976021503656,270360
-4.00073630728741,-40.68978770795,230990
-5.92309504446502,-37.9656202636941,241070
-6.54173396720309,-35.6461740602774,251274
-5.91353054241884,-42.6276360012983,220020
-9.54804764358716,-36.4912496169498,270080
-23.5444055877997,-46.8989080086805,352500
-29.5985556549743,-51.0899959555753,430640
-6.28772557520784,-37.8381739959335,240590
-11.5601204143052,-38.7939265539044,290360
-7.82088057076706,-42.2845675968439,220730
-11.13592353453,-48.4036939238927,170980
-6.90166953699868,-41.3049556147716,220180
-21.3424792638184,-48.6279611686198,351010
-3.9383791761015,-45.2589206146559,211172
-15.6971241883002,-41.3739053309808,312235
-5.83778455101862,-42.5524122183583,220710
-15.3297857616026,-56.5496209512063,510490
-6.06908839067275,-49.2450290040876,150295
-27.0505673689851,-51.2308873611506,421300
-29.5457096751795,-51.4256821341502,430955
-6.47735354989612,-37.6370994790663,251280
-7.90542220690499,-35.1554138662575,261060
-5.47207992218651,-47.782908054748,171830
-0.800641654602044,-48.6084956201054,150630
-26.6268928501736,-52.8900753117192,420785
-6.32993775638662,-47.7806116280115,171430
-29.2621619754981,-51.7200211014983,430593
-29.6792702304839,-49.9996792975995,430463
-1.49820424574806,-48.6337018976846,150130
-20.3714222050957,-50.9098958606313,353284
-7.69274902809923,-35.0492534892091,260780
-3.07098873250449,-45.0012998235505,210650
-7.70238175219792,-40.9563030990428,220255
-21.2167277330854,-47.6114334936128,355150
-8.95500021758549,-35.8964133517077,270300
-29.5196794177468,-49.8918157324169,430105
-13.3232985574034,-42.5362881537023,290420
-6.59149013891098,-38.5000021014434,251207
-1.14308008302256,-47.1189892145954,150220
-8.45106614407439,-48.7517478062545,171110
-21.2552142640614,-49.1374142303345,352885
-7.15467189786037,-35.2899256744395,251276
-8.6775428157246,-36.2859602455819,260880
-1.72991476500822,-48.8826531847474,150010
-9.17122142450134,-42.8753428997436,220192
-6.01057221447233,-35.843674750389,240640
-4.75339616180639,-45.1822864508534,210570
-7.45225953994038,-36.4907480510698,251400
-0.80979916948015,-47.6349728771192,150410
-15.6537901951789,-58.0546581091762,510562
-10.8045232692023,-37.1859397686756,280360
-7.09087721943562,-35.9454573675572,250950
-5.99140945673545,-37.8322542234194,241450
-4.168567994047,-45.5033243222657,210040
-9.65489385540067,-37.228383439076,270340
-6.63172543913532,-44.180268222041,210800
-6.09004143178388,-47.8413555550007,170382
-23.0645508582751,-49.6076428571809,352090
-7.1180116691872,-35.7710659891403,250933
-7.99838851608781,-36.0557487189146,261540
-11.680616277552,-62.0827283077761,110050
-7.35438732287167,-35.2143117981119,250790
-5.57109863936572,-35.6939933373664,241010
-0.888526595594606,-48.1382395664721,150820
-22.9729532806487,-51.4847757196909,411600
-5.0923522082282,-37.6178875694724,240145
-6.20585470036435,-47.8299878487437,171245
-2.05810555247822,-44.8427305509208,210680
-15.003278441072,-40.3358560051682,290480
-22.1695486352851,-42.9328973423637,330515
-29.8230750541014,-51.1331115471459,432000
-15.0594506061344,-39.3657610092341,292935
-22.4272801206017,-54.191857008401,500400
-22.73253051039,-53.0639989346405,411500
-22.6345968757464,-52.8919987094582,410710
-23.1980795480503,-52.4833819465135,412670
-17.7389272358941,-51.0380746094616,521880
-29.1393524716284,-51.6530314106729,431238
-0.791066400853019,-48.0784280813939,150710
-29.5852573085588,-50.89767786266,431306
-20.4797844939948,-50.8316727725718,352910
-22.2437544787348,-50.5016488391239,350720
-20.1978812901835,-50.4848872827408,355695
-11.3402965977159,-46.7477219211663,171865
-20.890280573984,-49.8868100630761,355570
-23.0188333986309,-49.7914683260443,351015
-16.124979151319,-48.0755190807028,521523
-23.2576228532943,-49.481108396053,355120
-16.6008032862376,-49.0105850469833,520355
-5.47471162898767,-36.331381169653,240970
-21.6703500232535,-48.0571525286417,354690
-22.5990200582777,-47.8759823895698,350060
-16.6983930555027,-47.517578565253,520620
-15.3068900263191,-47.2470085783019,520800
-17.1737163334635,-46.8837726065523,314700
-16.3755553818041,-46.8192230790319,317040
-6.66875712822841,-42.721115690762,220410
-23.5296354605288,-46.3459396673009,353980
-14.5000522156764,-45.224429812888,290810
-22.090184452863,-45.285205825614,314550
-7.88452091113206,-43.3668140450891,220785
-3.85098766512955,-45.0929344541392,210870
-22.7850639696804,-43.3657117368276,330510
-8.06010661134167,-42.305953008706,220793
-22.8285875977693,-42.218005116049,330187
