lat,lon,terrai_cod,terrai_nom
-11.0828379750504,-64.6359842521177,40001,Rio Negro Ocaia
-11.0788709252523,-64.6612398568698,40002,Rio Negro Ocaia
-29.0603910413075,-53.2327371124922,41001,Salto Grande do Jacuí
-3.73208484401873,-59.2374340786646,41801,São Pedro
-2.67186911390402,-67.5950151315259,42001,São Sebastião
1.39346651204295,-59.637861965048,49601,WaiWái
-7.12826859043896,-49.1643901612214,50101,Xambioá
-26.7422561327715,-52.5106024325026,50201,Xapecó
-6.35732477298159,-50.8137544639969,50501,Xikrin do Rio Catete
-5.42990146614711,-54.6832846166288,50601,Xipaya
2.16050182806986,-63.5018040647219,50901,Yanomami
-0.122046974233048,-55.78677333663,51001,Zoe
-10.5853493857251,-60.8211474903257,51101,Zoró
-6.91128757256577,-66.3951298129068,51201,Zuruahã
-11.1460991904432,-56.5926900687661,52401,Batelão
-2.67255789489257,-67.4821570271763,53401,Prosperidade
-23.5929160015901,-54.7682055802878,42201,Sassoró
-8.16658761893111,-66.8442625029623,42801,Seruini/Mariene
-23.5768295856293,-55.4657160090465,42901,Sete Cerros
-5.00472212413466,-60.0938151362662,43101,Setemã
2.9688789333716,-61.157443485855,43301,Sucuba
-21.6526905315766,-55.1099547149825,43401,Sucuriy
-3.73044246288367,-60.4043367218274,43601,Tabocal
-23.7628528989119,-55.1642872530555,43901,Takuaraty/Yvykuarusu
-23.2172808805864,-55.4331477427004,44101,Taquaperi
-22.7381549713371,-54.6240219686029,44201,Taquara
-20.256803351052,-56.0717002279266,44401,Taunay/Ipegue
-25.0190267986521,-54.0671726256139,44501,Tekohá Añetete
-2.867696439723,-46.2508921976519,1501,Alto Turiaçu
-5.56925394321159,-63.1369116462611,2701,Apurinã do Igarapé São João
-2.68535173170856,-48.2741416133848,44601,Tembé
-9.91687640670907,-36.7168242634088,45402,Tingui Botó
-3.57793935754379,-49.7099914098276,46301,Trocará
-27.4413845395508,-52.6651491301643,49201,Votouro
1.12710897640154,-52.8982485587287,49401,Waiãpi
-0.840658741110712,-60.6646850495929,49501,Waimiri-Atroari
-7.87017137383122,-49.9109087749339,56801,Las Casas
-16.1509970446796,-59.4787862972141,57001,Portal do Encantado
-2.81941047701628,-67.3588239259431,58201,São Domingos do Jacapari e Estação
-23.3071529109453,-50.4700399407984,64001,Yvyporã Laranjinha
-3.09333381592605,-40.0242326646328,64601,Tremembé de Queimadas
-21.9826308722193,-54.6180693493795,64801,Panambi - Lagoa Rica
-27.864943401699,-51.7710201506993,65301,Passo Grande do Rio Forquilha
-11.0526830582281,-51.4697747031442,65801,Krenrehé
-8.3220164684566,-64.41880078567,65901,Jacareúba/Katauixi (restrição uso)
-17.5605365883922,-41.269487750856,66001,Mundo Verde/Cachoeirinha
